Title,Year,Rating,WatchedDate
"The Good, the Bad and the Ugly",1966,7,2024-01-01
Challengers,2024,8,2024-01-01
Ikiru,1952,9,2024-01-01
Catch Me If You Can,2002,8,2024-01-01
The Lighthouse,2019,9,2024-01-01
Joker: Folie à Deux,2024,4,2024-01-01
The Witch,2015,9,2024-01-01
Halloween,1978,7,2024-01-01
The Zone of Interest,2023,8,2024-01-01
The Remarkable Life of Ibelin,2024,10,2024-01-01
Broker,2022,8,2024-01-01
Days of Heaven,1978,8,2024-01-01
The Wonderful Story of Henry Sugar and Three More,2024,8,2024-01-01
Poison,2023,8,2024-01-01
The Rat Catcher,2023,7,2024-01-01
The Swan,2023,7,2024-01-01
The Wonderful Story of Henry Sugar,2023,8,2024-01-01
Shutter Island,2010,9,2024-01-01
Grave of the Fireflies,1988,8,2024-01-01
High and Low,1963,10,2024-01-01
City of God,2002,10,2024-01-01
The Dark Knight Rises,2012,5,2024-01-01
Nobody Knows,2004,10,2024-01-01
Taxi Driver,1976,6,2024-01-01
GoodFellas,1990,9,2024-01-01
The Godfather Part II,1974,8,2024-01-01
The Godfather,1972,9,2024-01-01
Life of Pi,2012,8,2024-01-01
Asteroid City,2023,6,2024-01-01
Puss in Boots: The Last Wish,2022,8,2024-01-01
White Chicks,2004,,2024-01-01
Seven Samurai,1954,10,2024-01-01
The Shawshank Redemption,1994,8,2024-01-01
Megalopolis,2024,2,2024-01-01
Blade Runner 2049,2017,9,2024-01-01
Blade Runner,1982,6,2024-01-01
Robot Dreams,2023,8,2024-01-01
Inside Out 2,2024,7,2024-01-01
Good Will Hunting,1997,9,2024-01-01
The Silence of the Lambs,1991,7,2024-01-01
Requiem for a Dream,2000,9,2024-01-01
The Batman,2022,9,2024-01-01
At Eternity's Gate,2018,6,2024-01-01
Thelma,2024,8,2024-01-01
Shoplifters,2018,9,2024-01-01
Kill Bill: Vol. 2,2004,8,2024-01-01
Kill Bill: Vol. 1,2003,9,2024-01-01
Psycho,1960,8,2024-01-01
Nope,2022,10,2024-01-01
Us,2019,8,2024-01-01
Free Jimmy,2006,,2024-01-01
Apocalypse Now,1979,10,2024-01-01
Star Wars: Episode II – Attack of the Clones,2002,3,2024-01-01
Star Wars: Episode I – The Phantom Menace,1999,4,2024-01-01
Spider-Man: Across the Spider-Verse,2023,10,2024-01-01
I Saw the TV Glow,2024,9,2024-01-01
Oldboy,2003,9,2024-01-01
Ran,1985,6,2024-01-01
Furiosa: A Mad Max Saga,2024,9,2024-01-01
Mad Max: Fury Road,2015,8,2024-01-01
The Lord of the Rings: The Return of the King,2003,10,2024-01-01
The Lord of the Rings: The Two Towers,2002,10,2024-01-01
The Lord of the Rings: The Fellowship of the Ring,2001,10,2024-01-01
Aliens,1986,6,2024-01-01
Batman: Mask of the Phantasm,1993,7,2024-01-01
Full Metal Jacket,1987,8,2024-01-01
Whiplash,2014,8,2024-01-01
Shaun of the Dead,2004,8,2024-01-01
Deadpool & Wolverine,2024,5,2024-01-01
My Neighbor Totoro,1988,10,2024-01-01
Alien,1979,10,2024-01-01
Airplane!,1980,7,2024-01-01
Manchester by the Sea,2016,8,2024-01-01
The Usual Suspects,1995,9,2024-01-01
The Graduate,1967,8,2024-01-01
Soul,2020,10,2024-01-01
The Grand Budapest Hotel,2014,10,2024-01-01
Monkey Man,2024,8,2024-01-01
Django Unchained,2012,9,2024-01-01
Little Miss Sunshine,2006,8,2024-01-01
This Is England,2006,10,2024-01-01
Get Out,2017,9,2024-01-01
Monster,2023,10,2024-01-01
Vortex,2021,9,2024-01-01
Bram Stoker's Dracula,1992,8,2024-01-01
Titane,2021,5,2024-01-01
Perfect Days,2023,10,2024-01-01
The Apartment,1960,8,2024-01-01
Harakiri,1962,9,2024-01-01
"Like Father, Like Son",2013,9,2024-01-01
Terminator 2: Judgment Day,1991,8,2024-01-01
The Terminator,1984,7,2024-01-01
Godzilla Minus One,2023,8,2024-01-01
Network,1976,9,2024-01-01
Dog Day Afternoon,1975,8,2024-01-01
The Iron Claw,2023,9,2024-01-01
Do the Right Thing,1989,9,2024-01-01
Eternal Sunshine of the Spotless Mind,2004,9,2024-01-01
12 Angry Men,1957,9,2024-01-01
Dune: Part Two,2024,10,2024-01-01
Interstellar,2014,9,2024-01-01
Dune,2021,9,2024-01-01
Fantastic Mr. Fox,2009,8,2024-01-01
Titanic,1997,7,2024-01-01
Everything Everywhere All at Once,2022,10,2024-01-01
Pulp Fiction,1994,8,2024-01-01
The Shining,1980,10,2024-01-01
Arrival,2016,9,2024-01-01
